Total_Population,YEAR,AGE_MEAN,Person_in_Household_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN,%_Gender_Vrouwen,%_0to20,%_21to40,%_41to60,%_61to80,%_Above80,%_MajorEthnicity_Native Dutch,%_MajorEthnicity_Western,%_MajorEthnicity_Non-Western,%_MinorEthnicity_Marokko,%_MinorEthnicity_Suriname,%_MinorEthnicity_Turkije,%_MinorEthnicity_Voormalige Nederlandse Antillen en Aruba,%_Multiperson_Household,%_HouseholdType_Institutional,%_Employee,%_Unemployment_benefit_user,%_Welfare_benefit_user,%_Other_social_benefit_user,%_Sickness_benefit_user,%_Pension_benefit_user,%_Moving_count_above_1,%_Lifeevents_count_above_2,%_Low_Income,%_Debt_Mortgage,%_Debt_Poor,%_Wanbet,%_WMO_user,%_WLZ_user,%_ZVWKHUISARTS_user,%_ZVWKFARMACIE_user,%_ZVWKZIEKENHUIS_user,%_ZVWKOSTENPSYCHO_user,%_HVZ_Medication_user,%_UniqueMed_Count_>=5,%_UniqueMed_Count_>=10,%_DIAB_Medication_user,%_BLOEDDRUKV_Medication_user,%_CHOL_Medication_user,%_Hypertensie_patients,%_COPD_patients,%_Diabetes_I_patients,%_Diabetes_II_patients,%_Chronic_Hartfalen_patients,%_Morbus_Parkinson_patients,%_Heupfractuur_patients,%_BMIUP45_patients,ZVWKHUISARTS_MEAN,Wijknaam,WKC,Total cost GP care
8659.0,2021.0,41.91027054830528,2.586083946610294,46487.85903237982,1.048431773931061,2.869816970422865,3.85389632591834,2615.69337839797,99.03999916218811,1411.9294741277258,241.1149408160868,339.1746292668597,0.5076952870406473,0.2270762808562227,0.22390571165620934,0.2819114267381265,0.2164283656053862,0.04085184641698279,0.6116163052690029,0.24414079278000764,0.14441916420286316,0.006918293228621031,0.020276333367924417,0.007172504384126369,0.0125497165193158,0.7351144515025084,0.0059417368826874695,0.29306095902659596,0.00621080288807334,0.01849936011459065,0.01254983367124423,0.01883246901737736,0.19355971088290008,0.04490915422546355,0.11226574787162079,0.04342986362707141,0.3699650017229875,0.0,0.006385914764082531,0.04665096937546993,0.026002848470002088,0.882669910310918,0.5790114054915925,0.5092384175075781,0.041487374305746116,0.18927324705272672,0.17162007131963902,0.044096831387674826,0.02949094659552967,0.15227128754709757,0.08714244001353526,0.014249174422497209,0.01279178622361898,0.0060580986514848995,0.00715303501265859,0.011235105223069003,0.0013170317227694096,0.00224585234549446,0.0006895028708838401,166.14019657158224, Wijk 01 Oostduinen,WK051801,1438607.9621133306
8689.878787878786,2022.0,41.99570067279607,2.5927775041899084,48462.08869520412,1.0506672480014458,2.855708249899126,3.835614581283912,2642.611787773658,104.84003349677712,1413.4979895243832,234.05260059817607,365.3919530051387,0.5080707951957999,0.22643110485557197,0.22269062374895218,0.2820700901164659,0.2189495268685659,0.03958122774003955,0.6070123457926361,0.24429969707213545,0.148914200117997,0.006571643093994179,0.020572806319331713,0.007570253167751936,0.01322725120498259,0.7454772252746273,0.0034040220456778066,0.2981038327927244,0.005750341316027537,0.01929712615099028,0.013380117337998973,0.019323620347863564,0.19563042442432507,0.04680562739988362,0.10621559404075114,0.043703881045846715,0.36027780192011744,0.0,0.00543204325911254,0.047842507684983056,0.027162875909002786,0.8836969908656674,0.5747659699862465,0.5028277246010406,0.042213096199533943,0.18660144534093168,0.16916452108764693,0.04303552090871471,0.028912248083839874,0.14996808438098302,0.08538797890776857,0.013753091469861006,0.011677343730039392,0.005857637481605825,0.006792130676502372,0.010274273414278367,0.0009698389617826559,0.0019646336570028687,0.0006607854777297465,172.35390827630104, Wijk 01 Oostduinen,WK051801,1497734.5715382344
8723.232323232323,2023.0,42.08047255057942,2.601583365267655,50535.118879614834,1.0526085683245419,2.8444285150073703,3.818859616137727,2670.6737998364565,110.33270405272188,1416.334945916879,226.8340242324902,387.7413470305762,0.5084014516169505,0.22597593012451542,0.22122371340534902,0.2822177540514134,0.22152863798307781,0.038385678319577544,0.6024925422320098,0.2444968271088615,0.15328150784963412,0.006294129853218276,0.020839824157126888,0.007944084710569232,0.01381684030947282,0.7581774846887971,0.001137456608178421,0.30436463768060895,0.005398465589694357,0.020156399920264887,0.014184725232213861,0.01983304906336207,0.19879116357376173,0.048445975709289865,0.10087692386728477,0.04422846545211634,0.3539117341691635,0.0,0.004562604456146771,0.04976269108160755,0.02862524478669174,0.8850818332075745,0.5705986793141034,0.4971881723819539,0.0428423117629395,0.18417392231107596,0.16681654290442105,0.042108484726009615,0.028408124038360585,0.14776533745085202,0.08395601973666543,0.013295243811103884,0.010606907099394396,0.005655603902092414,0.0064351324203800915,0.009342980738188863,0.0006558063206976966,0.0016940743619281715,0.0006154539512701158,178.27291167436596, Wijk 01 Oostduinen,WK051801,1555116.0254745702
8759.060606060606,2024.0,42.16458618165535,2.6125015298435335,52706.949585611976,1.0542557349003496,2.835977765747596,3.803631430479783,2699.8794145863662,115.5180108300224,1420.4403433052128,219.4592117190292,406.2228113431722,0.508687256304099,0.22571075666305307,0.21950498062539991,0.2823544185429691,0.22416569894892194,0.037265198155596785,0.5980568945871239,0.24473218289018567,0.15752108739777454,0.00608575350629334,0.021077386881309945,0.008293999012578258,0.014318483832786487,0.7732152297450179,-0.000857959429810682,0.3118433736902496,0.005155175709073796,0.02107718142241446,0.014963657353888896,0.020360755163872875,0.20304192833121001,0.049830199153682295,0.09624973735122165,0.0450036168458803,0.3508667984701256,0.0,0.0037775983551852077,0.05241151956534343,0.030389955103068945,0.8868244373366391,0.5665095334751631,0.49231976085031803,0.04337502099596279,0.18199067796315957,0.16457613676996147,0.041315722839559546,0.027978574459091805,0.1456630467567045,0.0828465625002258,0.01287563144622584,0.009580476331683994,0.005451997912944668,0.006082040244291753,0.008441227194800487,0.00037493379951453144,0.0014341744602703683,0.0005535082915049476,183.89720676577699, Wijk 01 Oostduinen,WK051801,1610766.7793466991
8797.363636363636,2025.0,42.24804156602385,2.6255319979175438,54977.58081319555,1.0556087477288687,2.830356002119805,3.789930024310081,2730.228632023387,120.39595382867867,1425.8141816893847,211.92816305779317,420.8363459429267,0.5089282092572454,0.2256355844711849,0.21753442540910486,0.2824800835911329,0.22686070976609823,0.03621978724809727,0.5937054028579785,0.24500576441610805,0.1616329387624182,0.0059465140532193525,0.021285494491880892,0.008619996073779009,0.014732181774923591,0.7905904604432895,-0.002582226068289499,0.3205400408216464,0.005020471674165859,0.02205947065743901,0.01571691370302407,0.020906738649395983,0.20838271869666994,0.0509582977330609,0.09233403449256183,0.046029335227138576,0.35114299482300376,0.0,0.003077024956227869,0.05578899313619068,0.032457006858134414,0.888924803252861,0.5624985324694256,0.48822249000613316,0.04381122389860381,0.18005171229718253,0.16244330268426813,0.04065723524936451,0.027623599346033527,0.1436612122985405,0.0820596071984497,0.012494254375226875,0.008598051426908185,0.005246819514162586,0.005732854148237352,0.007569012784113241,0.00012722139823316114,0.001184933952029459,0.0004749484984342429,189.22679355053413, Wijk 01 Oostduinen,WK051801,1664696.9126071578
8838.141414141413,2026.0,42.330838703684925,2.640674769489686,57347.01256236554,1.0566676068100993,2.8275632241239963,3.7777553976286216,2761.721452147519,124.96653304869068,1432.456461069395,204.24087824878197,431.5819508298396,0.5091243104763897,0.22575041354891093,0.21531204775646384,0.2825947491959049,0.2296136704346067,0.03524944559707899,0.5894380670445735,0.2453175716866286,0.16561706194356512,0.005876411493996338,0.021464146988839732,0.008922075894171492,0.01505793413588413,0.8103031767836122,-0.004035343307258042,0.3304546390747993,0.004994353484970542,0.023103267625338528,0.01644449427961939,0.021470999519931387,0.21481353467014153,0.05183027144742569,0.08912981529130529,0.04730562059589119,0.354740323227798,0.0,0.002460884259274744,0.05989511179414932,0.03482640005188814,0.8913829309562407,0.5585656762968908,0.4848963598493991,0.04415092047086256,0.17835702531314482,0.16041804064734105,0.040133021955424494,0.027343198699185757,0.14175983407636,0.08159515383133711,0.012151112598106991,0.007659632385066971,0.00504006870574617,0.00538757413221689,0.006726337506127125,-8.733088314641455e-05,0.0009463528372054436,0.0003797745720580002,194.26167202863735, Wijk 01 Oostduinen,WK051801,1716912.1287366564
8881.393939393938,2027.0,42.41297759463856,2.6579298445599604,59815.24483312195,1.0574323121440412,2.82759943176017,3.7671075504354032,2794.357874958762,129.22974849005843,1440.3671814452434,196.39735729199566,438.4596260039111,0.5092755599615321,0.22605524389623113,0.21283784766747685,0.282698415357285,0.23242458095444737,0.03435417320254196,0.585254887146909,0.24566760470174734,0.16947345694121535,0.005875445828624273,0.021613344372186448,0.009200238473755697,0.01529574091566811,0.8323533787659857,-0.005217311146716298,0.3415871684497083,0.005076821141487846,0.024208572326113016,0.017146399083674855,0.022053537775479096,0.22233437625162475,0.05244612029677665,0.08663707974745201,0.04883247295213812,0.3616587836845084,0.0,0.0019291762643258263,0.06472987553921933,0.037498134684330116,0.8941988204467777,0.5547109649575589,0.482341370380116,0.04439411071273905,0.17690661701104643,0.15850035065918025,0.03974308295773951,0.027137372518548496,0.13995891209016303,0.08145320239888806,0.011846206114866186,0.006765219206160349,0.004831745487695416,0.005046200196230369,0.005913201360842137,-0.00026872304462419606,0.0007184311157983222,0.00026798651237622045,199.0018422000867, Wijk 01 Oostduinen,WK051801,1767413.755244079
8927.121212121212,2028.0,42.494458238884775,2.6772972231283667,62382.27762546479,1.0579028637306946,2.830464625028326,3.7579864827304275,2828.1379004571154,133.18560015278194,1449.5463428169303,188.39760018743422,441.46937146514097,0.5093819577126724,0.22655007551314554,0.21011182514214388,0.2827910820752733,0.23529344132562022,0.03353397006448616,0.581155863164985,0.24605586346146424,0.17320212375536884,0.005943617057103171,0.021733086641921053,0.009454483812531639,0.015445602114275524,0.8567410663904101,-0.006128129586664283,0.35393762894637343,0.005267874643717773,0.025375384759762476,0.01782262811519047,0.0226543534160391,0.2309452434411196,0.0528058442811138,0.08485582786100199,0.05060989229587939,0.3718983761931348,0.0,0.001481900971381133,0.07029328437140073,0.04047221075546036,0.8973724717244722,0.5509343984514298,0.48055752159828374,0.04454079462423326,0.1757004873908874,0.15669023271978572,0.039487418256309546,0.027006120804121743,0.13825844633994955,0.08163375290110253,0.01157953492550446,0.005914811890188321,0.004621849860010328,0.004708732340277786,0.005129604348258279,-0.0004169550862001838,0.0005011687878080941,0.00013958431938890367,203.4473040648822, Wijk 01 Oostduinen,WK051801,1816198.7436664838
8975.323232323231,2029.0,42.57528063642356,2.698776905194905,65048.11093939406,1.0580792615700596,2.8361588039284644,3.7503921945136933,2863.06152864258,136.8340880368612,1459.9939451844552,180.24160693509768,440.6111872135293,0.5094435037298105,0.22723490839965413,0.20713398018046497,0.2828727493498698,0.23822025154812526,0.03278883618291162,0.5771409950988015,0.2464823479657793,0.1768030623860256,0.006080925179433025,0.02182337379804354,0.009684811910499306,0.015507517731706376,0.8834662396568855,-0.0067677986271019765,0.3675060205647947,0.005567513991660321,0.026603704926286907,0.01847318137416622,0.02327344644161141,0.24064613623862613,0.05290944340043712,0.08378605963195526,0.05263787862711498,0.38545910075367734,0.0,0.0011190583804406504,0.07658533829069349,0.04374862826527886,0.9009038847893244,0.5472359767785034,0.47954481350390243,0.044590972205345206,0.17473863645266766,0.15498768682915742,0.03936602785113462,0.026949443555905495,0.13665843682571957,0.08213680533798054,0.011351099030021815,0.005108410437150889,0.004410381822690903,0.004375170564359142,0.004375546468375553,-0.0005320270078743761,0.00029456585323476073,-5.4320069039505946e-06,207.59805762302372, Wijk 01 Oostduinen,WK051801,1863259.6695691017
9026.0,2030.0,42.65544478725491,2.7223688907595753,67812.74477490973,1.0579615056621359,2.8446819684605855,3.7443246857852017,2899.1287595151557,140.17521214229617,1471.7099885478183,171.92937753498603,435.8850732490762,0.5094601980129466,0.22810974255575692,0.20390431278244006,0.28294341718107435,0.2412050116219625,0.032118771557818324,0.5732102829483584,0.24694705821469257,0.18027627283318565,0.006287370195613845,0.021884205840553922,0.009891222767658695,0.015481487767960666,0.9125288985654119,-0.0071363182680293895,0.3822923433049721,0.005975739185315491,0.02789353282568631,0.01909805886060212,0.02391081685219602,0.25143705464414434,0.052756917654746625,0.08342777506031182,0.05491643194584489,0.402340957366136,0.0,0.0008406484915043817,0.08360603729709765,0.047327387213785606,0.9047930596413339,0.5436156999387798,0.479303246096972,0.04454464345607488,0.17402106419638727,0.1533927129872954,0.039378911742214716,0.026967340773899756,0.13515888354747313,0.08296235970952207,0.011160898428418251,0.004346014847048047,0.004197341375737143,0.004045514868474437,0.003651027721193951,-0.0006139388096467746,9.862231207832112e-05,-0.00016706246650234234,211.4541028745114, Wijk 01 Oostduinen,WK051801,1908584.7325453397
