WKC,GMN,Wijknaam,YEAR,AGE_MEAN,Person_in_Household_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN,AGE_SD,Person_in_Household_SD,Income_SD,Moving_Count_SD,Lifeevents_Count_SD,UniqueMed_Count_SD,ZVWKOSTENTOTAAL_SD,ZVWKHUISARTS_SD,ZVWKHUISARTS_NO_REG_SD,ZVWKZIEKENHUIS_SD,ZVWKFARMACIE_SD,ZVWKOSTENPSYCHO_SD,Total_Population,%_Gender_Vrouwen,%_0to20,%_21to40,%_41to60,%_61to80,%_AGE_CAT_71to80,%_Above80,%_MajorEthnicity_Native Dutch,%_MajorEthnicity_Western,%_MajorEthnicity_Non-Western,%_MinorEthnicity_Marokko,%_MinorEthnicity_Suriname,%_MinorEthnicity_Turkije,%_MinorEthnicity_Voormalige Nederlandse Antillen en Aruba,%_Multiperson_Household,%_HouseholdType_Institutional,%_Employee,%_Unemployment_benefit_user,%_Welfare_benefit_user,%_Other_social_benefit_user,%_Sickness_benefit_user,%_Pension_benefit_user,%_Moving_count_above_1,%_Lifeevents_count_above_2,%_Low_Income,%_Debt_Mortgage,%_Debt_Poor,%_Wanbet,%_WMO_user,%_WLZ_user,%_ZVWKHUISARTS_user,%_ZVWKFARMACIE_user,%_ZVWKZIEKENHUIS_user,%_ZVWKOSTENPSYCHO_user,%_HVZ_Medication_user,%_UniqueMed_Count_>=5,%_UniqueMed_Count_>=10,%_DIAB_Medication_user,%_BLOEDDRUKV_Medication_user,%_CHOL_Medication_user,%_Hypertensie_patients,%_COPD_patients,%_Diabetes_I_patients,%_Diabetes_II_patients,%_Chronic_Hartfalen_patients,%_Morbus_Parkinson_patients,%_Heupfractuur_patients,%_BMIUP45_patients,cluster,Cluster,Age,Total_Cost,GP_Utilization,Polyfarmacie,Minority,Income,Cluster_Reworked,Cluster_Reworked_Number
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2010.0,41.1625688459117,2.3957783641161,0.0,1.04072674064139,2.80135695439126,3.97854914196568,2324.2467919759256,116.95493770161497,54.9228458048064,1295.5131745018275,352.4086056775903,314.0738091748664,23.1888881188406,1.517672753712,0.0,0.207304791699758,1.56608030107442,3.46397887973784,8353.18307688887,94.67918335400556,88.40379680165132,5375.568878854607,1580.129232428421,5399.464589818653,8200,0.5091463414634146,0.225,0.249390243902439,0.2804878048780488,0.1859756097560975,0.0646341463414634,0.0518292682926829,0.6554878048780488,0.2408536585365853,0.1042682926829268,0.0060975609756097,0.0189024390243902,0.0048780487804878,0.0109756097560975,0.1951219512195122,0.0170731707317073,0.0,0.0,0.0,0.0,0.0,0.0,0.0390243902439024,0.1310975609756097,0.0,0.0,0.0,0.0109756097560975,0.0,0.0,0.8347560975609756,0.625,0.5341463414634147,0.0378048780487804,0.2060975609756097,0.1945121951219512,0.048170731707317,0.0317073170731707,0.1713414634146341,0.0865853658536585,0.0170731707317073,0.0219512195121951,0.0085365853658536,0.0109756097560975,0.0189024390243902,0.0030487804878048,0.0048780487804878,0.0018292682926829,2,2,Older,Lower Cost,Lower Burden,Lower Use,Lower Minority,Higher Income,4,4
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2011.0,40.8946643557381,2.44218919898514,35210.1906484832,1.04094066041184,2.90286335628851,3.96408619313647,2291.500154022241,123.57141587321075,57.848396108714674,1293.7412333198015,325.15967420150383,294.17055558462573,23.0218020290835,1.51766599471521,35033.9531669842,0.210104235270215,1.90358306660729,3.4531252713803,7826.476052649667,89.2014882904615,81.61557885419055,5674.774754072801,1440.0816236522635,4265.6746532053485,8210,0.5054811205846529,0.2216808769792935,0.2533495736906211,0.2807551766138855,0.1894031668696711,0.0657734470158343,0.0456760048721071,0.6522533495736906,0.243605359317905,0.1035322777101096,0.0073081607795371,0.0176613885505481,0.0036540803897685,0.0103532277710109,0.7082825822168087,0.0158343483556638,0.2965895249695493,0.0073081607795371,0.0121802679658952,0.0091352009744214,0.0225334957369062,0.1863580998781973,0.03836784409257,0.1406820950060901,0.0432399512789281,0.4811205846528623,0.0,0.0109622411693057,0.0,0.0,0.8623629719853837,0.6132764920828259,0.5322777101096224,0.0450669914738124,0.2009744214372716,0.1912302070645554,0.0475030450669914,0.0304506699147381,0.1693057247259439,0.087088915956151,0.0176613885505481,0.0213154689403166,0.0079171741778319,0.0103532277710109,0.0194884287454324,0.0030450669914738,0.0042630937880633,0.0018270401948842,2,2,Older,Lower Cost,Lower Burden,Lower Use,Lower Minority,Higher Income,4,4
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2012.0,41.2227124826783,2.38724035608309,35140.9229714912,1.042195623262,2.9603115727003,3.93284613865297,2245.0310258050317,117.89302185148075,58.16309629121759,1384.2532895782117,289.8589142871432,217.7336026536356,23.2703119554036,1.45911771804756,30889.7784178677,0.212736454257278,2.06900918614403,3.47330417583812,7138.1959006709,97.14921836966974,89.49069558159698,5755.793377157226,1525.9704148351018,2823.970965382757,8270,0.5030229746070133,0.2224909310761789,0.24546553808948,0.2817412333736396,0.1898428053204353,0.0652962515114873,0.0513905683192261,0.6517533252720678,0.2388149939540507,0.1088270858524788,0.0072551390568319,0.0193470374848851,0.0042321644498186,0.0102781136638452,0.711608222490931,0.0163240628778718,0.2920193470374849,0.0084643288996372,0.0120918984280532,0.0084643288996372,0.0199516324062877,0.1922611850060459,0.0399032648125755,0.1390568319226118,0.0435308343409915,0.4818621523579202,0.0,0.0120918984280532,0.0,0.0,0.8688029020556227,0.6142684401451027,0.5374848851269649,0.0368802902055622,0.2025392986698911,0.1874244256348246,0.0471584038694075,0.0326481257557436,0.1698911729141475,0.090689238210399,0.0169286577992744,0.0217654171704957,0.0078597339782345,0.0102781136638452,0.0193470374848851,0.0030229746070133,0.0042321644498186,0.0018137847642079,2,2,Older,Lower Cost,Lower Burden,Lower Use,Lower Minority,Higher Income,4,4
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2013.0,41.2199098729858,2.39592430858806,35030.2057488654,1.03924418604651,2.79475982532751,3.89950149551346,2275.0593196341865,117.18810639733252,57.08276166880089,1408.4355150736626,249.16797534414192,198.2507131849902,23.3435545142299,1.46444754362496,31255.4775503677,0.203924215956651,1.5283088366123,3.4658096612833,7892.298089090927,91.69393141627975,84.38345529710375,6620.542247341258,1017.616092698704,2616.730048651566,8260,0.5036319612590799,0.2276029055690072,0.2391041162227603,0.2808716707021791,0.1930992736077481,0.0665859564164648,0.0502421307506053,0.6531476997578692,0.234866828087167,0.1119854721549636,0.0078692493946731,0.0199757869249394,0.0048426150121065,0.0084745762711864,0.7136803874092009,0.0236077481840193,0.2857142857142857,0.0121065375302663,0.0121065375302663,0.0090799031476997,0.0193704600484261,0.1967312348668281,0.0375302663438256,0.1349878934624697,0.0532687651331719,0.4891041162227603,0.0,0.0139225181598062,0.0,0.0,0.87590799031477,0.6077481840193705,0.5320823244552058,0.0308716707021791,0.2039951573849878,0.1803874092009685,0.0490314769975786,0.0320823244552058,0.1682808716707022,0.0938256658595641,0.0175544794188861,0.0217917675544794,0.0078692493946731,0.0102905569007263,0.0199757869249394,0.0036319612590799,0.0042372881355932,0.0018159806295399,2,2,Older,Lower Cost,Lower Burden,Lower Use,Lower Minority,Higher Income,4,4
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2014.0,41.0642256425841,2.40331292761973,37623.2873422873,1.03988023952096,2.84695714800144,3.94691848906561,2257.396470754592,122.42778958808287,60.36935171786936,1449.2347040014315,245.2955972004161,156.30956797984018,23.3218082489568,1.43498505362612,35264.5710504077,0.20524908408587,1.63357654547786,3.49276521911168,8068.035158319881,96.05039152020144,88.98814481542682,6904.979475284471,980.7398394960128,1906.356942065547,8350,0.5023952095808383,0.2311377245508982,0.2365269461077844,0.2832335329341317,0.192814371257485,0.0664670658682634,0.048502994011976,0.6520958083832336,0.2353293413173652,0.1131736526946107,0.0095808383233532,0.0197604790419161,0.0047904191616766,0.0089820359281437,0.7161676646706587,0.0221556886227544,0.2802395209580838,0.0125748502994011,0.0131736526946107,0.011377245508982,0.0161676646706586,0.197005988023952,0.0383233532934131,0.1419161676646706,0.0467065868263473,0.4736526946107784,0.0,0.0143712574850299,0.0,0.0,0.884431137724551,0.6047904191616766,0.537125748502994,0.041317365269461,0.2011976047904191,0.1844311377245509,0.048502994011976,0.0335329341317365,0.1646706586826347,0.0940119760479041,0.0173652694610778,0.0209580838323353,0.0071856287425149,0.0101796407185628,0.0191616766467065,0.0035928143712574,0.004191616766467,0.0017964071856287,2,2,Older,Lower Cost,Lower Burden,Lower Use,Lower Minority,Higher Income,4,4
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2015.0,41.3877168385143,2.33085777942815,36668.6623463389,1.03801415037774,2.77645748236168,3.86954789882494,2358.431303597339,125.86494203895468,61.88633971528405,1326.449227239806,247.95845671618983,201.96050948494997,23.4364052952647,1.37724633724355,37893.8775193292,0.201025648575636,1.45938417017577,3.40211891653673,7825.5043647961775,98.91365677518316,91.91350316109587,5825.832438388612,1289.9261426637277,2796.961665709588,8340,0.5017985611510791,0.2284172661870503,0.2314148681055156,0.2823741007194245,0.2002398081534772,0.0707434052757793,0.0485611510791366,0.6528776978417267,0.2350119904076738,0.1121103117505995,0.0095923261390887,0.0185851318944844,0.0041966426858513,0.0113908872901678,0.723621103117506,0.0167865707434052,0.2841726618705036,0.0119904076738609,0.0149880095923261,0.0095923261390887,0.0173860911270983,0.1954436450839328,0.0359712230215827,0.1282973621103117,0.0461630695443645,0.4712230215827338,0.0,0.0119904076738609,0.0479616306954436,0.0203836930455635,0.8908872901678657,0.6019184652278178,0.5335731414868106,0.0359712230215827,0.2020383693045563,0.1786570743405275,0.0479616306954436,0.0347721822541966,0.1630695443645084,0.0959232613908872,0.0173860911270983,0.0209832134292565,0.0071942446043165,0.0101918465227817,0.0179856115107913,0.0035971223021582,0.0035971223021582,0.0017985611510791,2,2,Older,Lower Cost,Lower Burden,Lower Use,Lower Minority,Higher Income,4,4
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2016.0,41.4241238545579,2.71737613398465,38336.5013259082,1.0386331611085,2.95568736915562,3.90419278996865,2431.6716520635973,131.83814498706772,66.88746246400818,1384.6262945804283,278.9926374333466,175.19495341200562,23.4926632241021,14.1286420150598,34476.0961168819,0.201663571633388,1.93068112260072,3.44624036568868,7929.57177859218,112.38689108100664,105.41121226191494,5557.443096269687,1888.7600482641976,2667.890677813044,8520,0.5046948356807511,0.2323943661971831,0.2282863849765258,0.2811032863849765,0.2030516431924882,0.0721830985915493,0.0475352112676056,0.6373239436619719,0.2423708920187793,0.1197183098591549,0.0093896713615023,0.0187793427230046,0.0046948356807511,0.0088028169014084,0.7165492957746479,0.0199530516431924,0.278169014084507,0.0117370892018779,0.0140845070422535,0.0088028169014084,0.0176056338028169,0.193075117370892,0.0369718309859154,0.1496478873239436,0.0416666666666666,0.4512910798122065,0.0,0.011150234741784,0.0481220657276995,0.0217136150234741,0.8820422535211268,0.5985915492957746,0.5434272300469484,0.0357981220657277,0.2030516431924882,0.1825117370892018,0.0475352112676056,0.0328638497652582,0.1637323943661972,0.0974178403755868,0.017018779342723,0.0181924882629107,0.0070422535211267,0.0088028169014084,0.0164319248826291,0.0035211267605633,0.0035211267605633,0.0017605633802816,2,2,Older,Lower Cost,Lower Burden,Lower Use,Lower Minority,Higher Income,4,4
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2017.0,41.5602499684775,2.47050254916242,39352.6154848801,1.03612767450018,2.95848506919155,3.92848676412485,2461.5890822307133,135.5505194585581,70.0686995145827,1377.5326198809903,260.17827160190507,191.91131774366696,23.5668256717422,2.53902945375284,38474.6441715847,0.195193815011006,1.7060128633574,3.54590279572837,8246.644195810324,127.71030657059345,122.0024928340712,6257.45289566791,1246.662745725716,2226.7189597545275,8550,0.5058479532163743,0.2304093567251462,0.2280701754385964,0.2795321637426901,0.2081871345029239,0.0812865497076023,0.0467836257309941,0.6309941520467837,0.2450292397660818,0.1245614035087719,0.0087719298245614,0.0187134502923976,0.0052631578947368,0.0081871345029239,0.7146198830409357,0.019298245614035,0.2883040935672514,0.0076023391812865,0.0169590643274853,0.0093567251461988,0.0163742690058479,0.1994152046783625,0.0345029239766081,0.1421052631578947,0.0485380116959064,0.4502923976608187,0.0,0.0122807017543859,0.0456140350877193,0.0239766081871345,0.8818713450292398,0.5923976608187135,0.5345029239766081,0.0380116959064327,0.2011695906432748,0.1777777777777777,0.0508771929824561,0.0327485380116959,0.1608187134502924,0.0970760233918128,0.0163742690058479,0.0181286549707602,0.0070175438596491,0.0087719298245614,0.0152046783625731,0.0029239766081871,0.0035087719298245,0.0,2,2,Older,Lower Cost,Lower Burden,Lower Use,Lower Minority,Higher Income,4,4
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2018.0,41.7716916549223,2.40432674375233,39812.3346288379,1.03488507758721,2.90637821708318,4.02414800389484,2712.9830342624423,148.59700143386672,82.86144507148816,1539.4618708047522,249.91406586001975,245.98462215954444,23.5593913999458,1.45244387588701,38996.6702069474,0.195804704039135,1.62897057188356,3.63034342545424,9279.047516218432,152.1682293452236,145.9663684114967,7025.609214943765,985.4063235552368,3356.758162167569,8570,0.5070011668611435,0.2298716452742123,0.2228704784130688,0.2841306884480746,0.2094515752625437,0.0892648774795799,0.0460910151691948,0.6260210035005834,0.2421236872812135,0.131855309218203,0.0087514585764294,0.0192532088681446,0.0064177362893815,0.0105017502917152,0.7222870478413069,0.0175029171528588,0.293465577596266,0.0070011668611435,0.0175029171528588,0.0093348891481913,0.0175029171528588,0.1983663943990665,0.0326721120186697,0.1376896149358226,0.0466744457409568,0.4235705950991832,0.0,0.0099183197199533,0.0478413068844807,0.0250875145857642,0.882730455075846,0.5997666277712952,0.5460910151691949,0.0402567094515752,0.2024504084014002,0.1878646441073512,0.0513418903150525,0.0320886814469078,0.1627771295215869,0.0968494749124854,0.0163360560093348,0.0169194865810968,0.0064177362893815,0.0087514585764294,0.014585764294049,0.0023337222870478,0.0035005834305717,0.0,2,2,Older,Lower Cost,Lower Burden,Lower Use,Lower Minority,Higher Income,4,4
WK051801,'s-Gravenhage, Wijk 01 Oostduinen,2019.0,41.6670318906937,2.6068848278793,46109.8930963421,1.03981481481481,2.92902677433064,3.91508881514737,2578.578342626063,155.90844460056277,89.02924938185026,1410.1537224301555,264.3309787721904,253.93727203808757,23.5252389404954,1.54597464824144,123157.358523938,0.212554155128912,1.65640730177329,3.44420761768836,9315.902979719229,174.54976773264977,169.19276040294002,7177.586389845195,1509.2004689248893,2837.847524770388,8640,0.5063657407407407,0.2309027777777778,0.224537037037037,0.28125,0.2112268518518518,0.0960648148148148,0.042824074074074,0.6174768518518519,0.245949074074074,0.136574074074074,0.0075231481481481,0.0190972222222222,0.0063657407407407,0.0109953703703703,0.7239583333333334,0.0098379629629629,0.2899305555555556,0.0075231481481481,0.0167824074074074,0.0098379629629629,0.0173611111111111,0.1927083333333333,0.037037037037037,0.1168981481481481,0.0434027777777777,0.4027777777777778,0.0,0.0081018518518518,0.0474537037037037,0.0260416666666666,0.8819444444444444,0.59375,0.5370370370370371,0.0399305555555555,0.1973379629629629,0.1811342592592592,0.0480324074074074,0.0306712962962962,0.1591435185185185,0.0925925925925925,0.015625,0.015625,0.0063657407407407,0.0075231481481481,0.0133101851851851,0.0023148148148148,0.0028935185185185,0.0,2,2,Older,Lower Cost,Lower Burden,Lower Use,Lower Minority,Higher Income,4,4
