%_HVZ_Medication_user,%_71to80,%_Chronic_Hartfalen_patients,%_DIAB_Medication_user,%_CHOL_Medication_user,%_Unemployment_benefit_user,%_WMO_user,%_Debt,UniqueMed_Count,%_WLZ_user,wc_name,YEAR,Total_Population,ZVWKHUISARTS,WKC,GMN,Wijknaam,Projection_demand,Total cost GP care,model
0.2033036848792884,0.0660736975857687,0.0177890724269377,0.031130876747141,0.0876747141041931,0.0069885641677255,0.0,0.4790343074968233,3.98789649415693,0.0,'s-Gravenhage; Wijk 02 Belgisch Park,2011,7870,116.701811758055,WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,116.701811758055,918443.2585358928,Original
0.2035737077217613,0.0657306955966815,0.0178685386088066,0.0325462667517549,0.0918953414167198,0.0089342693044033,0.0,0.4773452456924059,3.9446916719644,0.0,'s-Gravenhage; Wijk 02 Belgisch Park,2012,7835,110.413543614794,WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,110.413543614794,865090.114221911,Original
0.2018987341772151,0.0664556962025316,0.0183544303797468,0.0310126582278481,0.0930379746835443,0.0113924050632911,0.0,0.4860759493670886,3.90168421052632,0.0,'s-Gravenhage; Wijk 02 Belgisch Park,2013,7900,112.571992828575,WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,112.571992828575,889318.7433457426,Original
0.1998746867167919,0.0664160401002506,0.0169172932330827,0.0325814536340852,0.0927318295739348,0.012531328320802,0.0,0.4724310776942356,3.93693504309439,0.0,'s-Gravenhage; Wijk 02 Belgisch Park,2014,7980,117.609555555556,WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,117.609555555556,938524.2533333369,Original
0.2011278195488721,0.0720551378446115,0.0169172932330827,0.0338345864661654,0.0958646616541353,0.0119047619047619,0.0444862155388471,0.4730576441102757,3.85875943000838,0.0181704260651629,'s-Gravenhage; Wijk 02 Belgisch Park,2015,7980,119.515395076839,WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,119.515395076839,953732.8527131752,Original
0.2011104256631709,0.0715607649599013,0.0160394818013571,0.0326958667489204,0.0968537939543491,0.0111042566317088,0.0444170265268352,0.4435533621221468,3.89689000208725,0.0197409006785934,'s-Gravenhage; Wijk 02 Belgisch Park,2016,8105,122.152994052447,WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,122.152994052447,990050.016795083,Original
0.2028360049321824,0.0826140567200986,0.0147965474722564,0.032675709001233,0.0974106041923551,0.0080147965474722,0.0425400739827373,0.4401972872996301,3.94841437632135,0.0240443896424167,'s-Gravenhage; Wijk 02 Belgisch Park,2017,8110,127.278189283791,WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,127.278189283791,1032226.1150915449,Original
0.2020631067961165,0.0898058252427184,0.0133495145631067,0.0309466019417475,0.0958737864077669,0.0066747572815533,0.0430825242718446,0.4156553398058252,4.01974902283481,0.0200242718446601,'s-Gravenhage; Wijk 02 Belgisch Park,2018,8240,139.940481943707,WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,139.940481943707,1153109.5712161458,Original
0.1975903614457831,0.0963855421686747,0.0126506024096385,0.0301204819277108,0.0927710843373494,0.0078313253012048,0.0463855421686747,0.4,3.94869153101175,0.0246987951807228,'s-Gravenhage; Wijk 02 Belgisch Park,2019,8300,149.153647120694,WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,149.153647120694,1237975.2711017602,Original
0.1924233313289236,0.0974143114852676,0.0120264582080577,0.0300661455201443,0.0883944678292242,0.0084185207456404,0.0457005411906193,0.3830426939266386,3.82160219826675,0.0234515935057125,'s-Gravenhage; Wijk 02 Belgisch Park,2020,8315,149.081299361397,WK051802,'s-Gravenhage, Wijk 02 Belgisch Park,149.081299361397,1239611.0041900158,Original
0.3243243243243243,0.1081081081081081,0.027027027027027,0.0405405405405405,0.1297297297297297,0.0081081081081081,0.0,0.4648648648648649,4.88695652173913,0.0,'s-Gravenhage; Wijk 03 Westbroekpark en Duttendel,2011,1850,147.738138297872,WK051803,'s-Gravenhage, Wijk 03 Westbroekpark en Duttendel,147.738138297872,273315.5558510632,Original
0.3214285714285714,0.1126373626373626,0.0302197802197802,0.0412087912087912,0.1373626373626373,0.0,0.0,0.4725274725274725,4.72871917263325,0.0,'s-Gravenhage; Wijk 03 Westbroekpark en Duttendel,2012,1820,137.772296511628,WK051803,'s-Gravenhage, Wijk 03 Westbroekpark en Duttendel,137.772296511628,250745.579651163,Original
0.3143631436314363,0.1219512195121951,0.032520325203252,0.043360433604336,0.1355013550135501,0.008130081300813,0.0,0.4905149051490515,4.79559748427673,0.0,'s-Gravenhage; Wijk 03 Westbroekpark en Duttendel,2013,1845,143.319679083095,WK051803,'s-Gravenhage, Wijk 03 Westbroekpark en Duttendel,143.319679083095,264424.80790831026,Original
0.3170731707317073,0.1355013550135501,0.035230352303523,0.040650406504065,0.1327913279132791,0.008130081300813,0.0,0.4769647696476964,4.81496062992126,0.0,'s-Gravenhage; Wijk 03 Westbroekpark en Duttendel,2014,1845,157.55918872267,WK051803,'s-Gravenhage, Wijk 03 Westbroekpark en Duttendel,157.55918872267,290696.70319332613,Original
0.304225352112676,0.1436619718309859,0.0253521126760563,0.0366197183098591,0.1380281690140845,0.0,0.056338028169014,0.4647887323943662,4.64009860312243,0.0676056338028169,'s-Gravenhage; Wijk 03 Westbroekpark en Duttendel,2015,1775,160.558462940462,WK051803,'s-Gravenhage, Wijk 03 Westbroekpark en Duttendel,160.558462940462,284991.27171932004,Original
