%_Chronic_Hartfalen_patients,%_CHOL_Medication_user,%_HVZ_Medication_user,%_Above80,%_DIAB_Medication_user,%_Unemployment_benefit_user,%_Debt_Mortgage,UniqueMed_Count_MEAN,%_WLZ_user,%_WMO_user,ZVWKHUISARTS_MEAN,Projection_demand,Wijknaam,WKC,Total_Population,YEAR,Total cost GP care
0.011235105223069003,0.08714244001353526,0.18927324705272672,0.04085184641698279,0.02949094659552967,0.00621080288807334,0.3699650017229875,3.85389632591834,0.026002848470002088,0.04665096937546993,149.90169713486216,166.14019657158224, Wijk 01 Oostduinen,WK051801,8659.0,2021.0,1297998.7954907715
0.010274273414278367,0.08538797890776857,0.18660144534093168,0.03958122774003955,0.028912248083839874,0.005750341316027537,0.36027780192011744,3.835614581283912,0.027162875909002786,0.047842507684983056,150.85649522547044,172.35390827630104, Wijk 01 Oostduinen,WK051801,8689.878787878786,2022.0,1310924.657873553
0.009342980738188863,0.08395601973666543,0.18417392231107596,0.038385678319577544,0.028408124038360585,0.005398465589694357,0.3539117341691635,3.818859616137727,0.02862524478669174,0.04976269108160755,152.03984161987776,178.27291167436596, Wijk 01 Oostduinen,WK051801,8723.232323232323,2023.0,1326278.8608376407
0.008441227194800487,0.0828465625002258,0.18199067796315957,0.037265198155596785,0.027978574459091805,0.005155175709073796,0.3508667984701256,3.803631430479783,0.030389955103068945,0.05241151956534343,153.45173631808413,183.89720676577699, Wijk 01 Oostduinen,WK051801,8759.060606060606,2024.0,1344093.0585153303
0.007569012784113241,0.0820596071984497,0.18005171229718253,0.03621978724809727,0.027623599346033527,0.005020471674165859,0.35114299482300376,3.789930024310081,0.032457006858134414,0.05578899313619068,155.09217932008957,189.22679355053413, Wijk 01 Oostduinen,WK051801,8797.363636363636,2025.0,1364402.2986349443
0.006726337506127125,0.08159515383133711,0.17835702531314482,0.03524944559707899,0.027343198699185757,0.004994353484970542,0.354740323227798,3.7777553976286216,0.03482640005188814,0.05989511179414932,156.96117062589406,194.26167202863735, Wijk 01 Oostduinen,WK051801,8838.141414141413,2026.0,1387245.0225208309
0.005913201360842137,0.08145320239888806,0.17690661701104643,0.03435417320254196,0.027137372518548496,0.005076821141487846,0.3616587836845084,3.7671075504354032,0.037498134684330116,0.06472987553921933,159.05871023549759,199.0018422000867, Wijk 01 Oostduinen,WK051801,8881.393939393938,2027.0,1412663.0650933648
0.005129604348258279,0.08163375290110253,0.1757004873908874,0.03353397006448616,0.027006120804121743,0.005267874643717773,0.3718983761931348,3.7579864827304275,0.04047221075546036,0.07029328437140073,161.38479814890016,203.4473040648822, Wijk 01 Oostduinen,WK051801,8927.121212121212,2028.0,1440701.6548689466
0.004375546468375553,0.08213680533798054,0.17473863645266766,0.03278883618291162,0.026949443555905495,0.005567513991660321,0.38545910075367734,3.7503921945136933,0.04374862826527886,0.07658533829069349,163.93943436610178,207.59805762302372, Wijk 01 Oostduinen,WK051801,8975.323232323231,2029.0,1471409.4139600028
0.003651027721193951,0.08296235970952207,0.17402106419638727,0.032118771557818324,0.026967340773899756,0.005975739185315491,0.402340957366136,3.7443246857852017,0.047327387213785606,0.08360603729709765,166.72261888710247,211.4541028745114, Wijk 01 Oostduinen,WK051801,9026.0,2030.0,1504838.3580749868
0.011235105223069003,0.08714244001353526,0.18927324705272672,0.04085184641698279,0.02949094659552967,0.00621080288807334,0.3699650017229875,3.85389632591834,0.026002848470002088,0.04665096937546993,149.90169713486216,166.14019657158224, Wijk 02 Belgisch Park,WK051802,8659.0,2021.0,1297998.7954907715
0.010274273414278367,0.08538797890776857,0.18660144534093168,0.03958122774003955,0.028912248083839874,0.005750341316027537,0.36027780192011744,3.835614581283912,0.027162875909002786,0.047842507684983056,150.85649522547044,172.35390827630104, Wijk 02 Belgisch Park,WK051802,8689.878787878786,2022.0,1310924.657873553
0.009342980738188863,0.08395601973666543,0.18417392231107596,0.038385678319577544,0.028408124038360585,0.005398465589694357,0.3539117341691635,3.818859616137727,0.02862524478669174,0.04976269108160755,152.03984161987776,178.27291167436596, Wijk 02 Belgisch Park,WK051802,8723.232323232323,2023.0,1326278.8608376407
0.008441227194800487,0.0828465625002258,0.18199067796315957,0.037265198155596785,0.027978574459091805,0.005155175709073796,0.3508667984701256,3.803631430479783,0.030389955103068945,0.05241151956534343,153.45173631808413,183.89720676577699, Wijk 02 Belgisch Park,WK051802,8759.060606060606,2024.0,1344093.0585153303
0.007569012784113241,0.0820596071984497,0.18005171229718253,0.03621978724809727,0.027623599346033527,0.005020471674165859,0.35114299482300376,3.789930024310081,0.032457006858134414,0.05578899313619068,155.09217932008957,189.22679355053413, Wijk 02 Belgisch Park,WK051802,8797.363636363636,2025.0,1364402.2986349443
0.006726337506127125,0.08159515383133711,0.17835702531314482,0.03524944559707899,0.027343198699185757,0.004994353484970542,0.354740323227798,3.7777553976286216,0.03482640005188814,0.05989511179414932,156.96117062589406,194.26167202863735, Wijk 02 Belgisch Park,WK051802,8838.141414141413,2026.0,1387245.0225208309
0.005913201360842137,0.08145320239888806,0.17690661701104643,0.03435417320254196,0.027137372518548496,0.005076821141487846,0.3616587836845084,3.7671075504354032,0.037498134684330116,0.06472987553921933,159.05871023549759,199.0018422000867, Wijk 02 Belgisch Park,WK051802,8881.393939393938,2027.0,1412663.0650933648
