Total_Population,YEAR,AGE_MEAN,Person_in_Household_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_NO_REG_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN,%_Gender_Vrouwen,%_0to20,%_21to40,%_41to60,%_61to80,%_Above80,%_MajorEthnicity_Native Dutch,%_MajorEthnicity_Western,%_MajorEthnicity_Non-Western,%_MinorEthnicity_Marokko,%_MinorEthnicity_Suriname,%_MinorEthnicity_Turkije,%_MinorEthnicity_Voormalige Nederlandse Antillen en Aruba,%_Multiperson_Household,%_HouseholdType_Institutional,%_Employee,%_Unemployment_benefit_user,%_Welfare_benefit_user,%_Other_social_benefit_user,%_Sickness_benefit_user,%_Pension_benefit_user,%_Moving_count_above_1,%_Lifeevents_count_above_2,%_Low_Income,%_Debt_Mortgage,%_Debt_Poor,%_Wanbet,%_WMO_user,%_WLZ_user,%_ZVWKHUISARTS_user,%_ZVWKFARMACIE_user,%_ZVWKZIEKENHUIS_user,%_ZVWKOSTENPSYCHO_user,%_HVZ_Medication_user,%_UniqueMed_Count_>=5,%_UniqueMed_Count_>=10,%_DIAB_Medication_user,%_BLOEDDRUKV_Medication_user,%_CHOL_Medication_user,%_Hypertensie_patients,%_COPD_patients,%_Diabetes_I_patients,%_Diabetes_II_patients,%_Chronic_Hartfalen_patients,%_Morbus_Parkinson_patients,%_Heupfractuur_patients,%_BMIUP45_patients,ZVWKHUISARTS_MEAN,Projection_demand,Wijknaam,WKC
8659.0,2021.0,46.30897506842411,3.3546098055356106,53019.00076214382,1.0476131073272723,2.8244943191788643,3.398571489845239,3435.194356369081,104.94560609552971,2009.1121409462337,125.64741100113591,344.7059815954399,0.5401258995159983,0.10491843054112578,0.033965353423825555,0.3432814123067014,0.3482140110184836,-0.16326895199725977,0.9038182942102463,0.8368307925845788,1.1990857431860158,0.23484618125078796,0.981654172836854,1.2731049458257666,1.2729039097411805,0.9605944048047331,-0.23398516066876263,0.3293676213016226,0.4939067058610741,1.0569301078802797,0.9823097082673914,0.8357544358522605,0.2426591683356006,0.8186990654114054,-0.01928842679962612,0.8152969853627497,0.37820679631582643,0.0,-0.17054590051671994,0.9694299001926928,0.9985093812480828,1.0353604039477706,0.6573674824346423,0.5661136692881836,0.7478311884843437,0.14964966384703682,0.16744026075134014,0.19043501988996667,-0.1544347075682101,0.00133104611763729,0.006428288369719357,-0.08552175294810796,-0.06571244073838103,-0.1417153884238954,-0.10720267957138567,-0.12338492036259976,-0.22495943244827094,-0.030145968422371383,0.37692823608317133,159.39803759732047,177.55029328035693, Wijk 01 Oostduinen,WK051801
8689.878787878786,2022.0,46.53271430781495,3.3875131832183083,55270.59260088654,1.051378814374514,2.734769091306859,3.3590916566445626,3558.7757312721756,112.16498256487635,2019.3268155247047,114.2377834260248,392.51588600285896,0.5426811484428218,0.09237240897256027,-0.005900918727371869,0.34798638109870583,0.36198979935799014,-0.2979154357939526,0.8937248011733099,0.851169428662101,1.3309112242458507,0.13565492850241387,1.0929505596471238,1.4170261856882496,1.470593385177978,0.9746672792288635,-0.4112465920957193,0.33503524534267864,0.4572890475126695,1.1025091407599121,1.0472982752742854,0.8575509354376213,0.24525515085454253,0.9455794658576426,-0.04448010764044705,0.8204410396333953,0.36830379255695184,0.0,-0.3103708797043217,0.9941906475025752,1.0430544349057096,1.0371901896819569,0.6467180473990042,0.5413738504065962,0.7989552106507218,0.12709651410335512,0.15614652719844252,0.07184387999693251,-0.28093344579747503,-0.023669684165073365,-0.013817098570899598,-0.24333976088799336,-0.19537933086973566,-0.2340578654303506,-0.21173804509876049,-0.24687459792048913,-0.40867865187916386,-0.14020473696385088,0.36122939449226676,167.1524219925385,185.63424967455023, Wijk 01 Oostduinen,WK051801
8723.232323232323,2023.0,46.75472961646673,3.4307999659816155,57634.865579142315,1.0546490127268384,2.6630349619224285,3.3229089376272065,3687.6073418204596,119.00177943157465,2037.8019840849952,102.57574713016658,433.27223484253074,0.5449311913611944,0.083521131201004,-0.05402932707561808,0.35236517482479585,0.3760822294363323,-0.42460688822691006,0.8838158074035595,0.8689573424982415,1.4589908332921457,0.0562466627694347,1.19318945300798,1.5522932219606176,1.6426223059928837,0.9919145105030195,-0.5695680189221632,0.3420716872495277,0.4293065492756972,1.151602315444468,1.110277129539651,0.8801585557308252,0.24921766107854298,1.0553242559111153,-0.06670930691107838,0.8302889196238206,0.36179590646501125,0.0,-0.43781913861148714,1.03409299515926,1.0992093998089654,1.039657342574299,0.6362646342611233,0.5196099783092174,0.8432807721176334,0.10660536382192601,0.1453475463248741,-0.03174341119499312,-0.3911308186539414,-0.04757998556248649,-0.0303410143230717,-0.3889940412074749,-0.31992607938126794,-0.32712467324157435,-0.31514202077231457,-0.3665677962827183,-0.5748509866132732,-0.24609180653626422,0.3364481600276683,174.58635131925135,193.3347944762509, Wijk 01 Oostduinen,WK051801
8759.060606060606,2024.0,46.97502099437944,3.4844701538255323,60111.81969691115,1.057423702384246,2.609291931025573,3.29002333279317,3821.6891880139333,125.45599669562462,2064.537646627105,90.66130211356118,466.97502811445537,0.5468760282711158,0.07836459722645696,-0.11041987162091307,0.35641779348497127,0.39049130125351,-0.5433433092961322,0.874091312900995,0.8901945340930004,1.5833245703249017,-0.0033786159481498657,1.2823708529194235,1.6789060546428713,1.7889906721858981,1.0123360986272012,-0.7089494411480948,0.35047694702216975,0.4099592111501573,1.204209631933947,1.1712462710634879,0.9035772967318724,0.2545466990076021,1.1479334355718234,-0.08597602461152017,0.8448406253340257,0.3586831380400047,0.0,-0.5528906772382165,1.089136943162747,1.1669742759578505,1.042761862624797,0.6260072430209997,0.5008220529960469,0.8808078728850786,0.08817621300274947,0.13504331813063483,-0.12032685368581036,-0.4850268261376094,-0.07039985807460207,-0.043143458886797,-0.5224845939065529,-0.4393526862729781,-0.42091581185756677,-0.4174146065920481,-0.4824645154492872,-0.7234764366505992,-0.34780717713961157,0.3025845326893761,181.699825577459,200.65192768545887, Wijk 01 Oostduinen,WK051801
8797.363636363636,2025.0,47.193588441553096,3.5485237467500585,62701.454954193025,1.0597028833467368,2.5735399986162935,3.2604348421424536,3961.021269852598,131.52763435702624,2099.5338031510337,78.49444837620862,493.62426581863275,0.5485156591725864,0.07690280704891916,-0.1750725523632569,0.3601442370792323,0.4052170148095232,-0.654124699001619,0.8645513176656164,0.9148810034463781,1.703912435344118,-0.04322090765033937,1.3604947593814536,1.7968646837350106,1.90969848375702,1.0359320436014088,-0.8293908587735135,0.3602510246606047,0.3992470331360498,1.2603310902283495,1.2302056998457958,0.9278071584407626,0.26124226464171973,1.2234070048397663,-0.10228026074177231,0.8640961567640109,0.3589654872819321,0.0,-0.6555854955845094,1.1593224915130362,1.2463490633523646,1.0465037498334506,0.6159458736786333,0.48501007446708466,0.9115365129530573,0.07180906164582555,0.1252338426157248,-0.193906447475519,-0.5626214682484787,-0.09212930170142013,-0.05222443226207541,-0.6438114189852268,-0.5536591515448658,-0.5154312812783277,-0.518555802557961,-0.594564755420196,-0.8545550019911414,-0.44535084877389264,0.2596385124773899,188.49284476716144,207.58564930217415, Wijk 01 Oostduinen,WK051801
8838.141414141413,2026.0,47.410431957987676,3.622960744755194,65403.77135098796,1.0614865556143105,2.5557791646945884,3.2341434656750576,4105.603587336451,137.2166924157795,2142.7904536567817,66.07518591810889,513.2199479550629,0.5498500840656058,0.0791357606683906,-0.24798736930264953,0.3635445056075788,0.42025937010437203,-0.7569510573433703,0.8551958216974238,0.943016750558374,1.8207544283497945,-0.06328021233713393,1.4275611723940704,1.9061691092370352,2.0047457407062503,1.0627023454256415,-0.9308922717984197,0.37139392016483264,0.39717001523337464,1.3199666903276754,1.2871554158865752,0.952848140857496,0.269304357980896,1.2817449637149445,-0.11562201530183487,0.8880555139137756,0.3626429541907936,0.0,-0.7459035936503657,1.244649640210128,1.3373337619925079,1.0508830042002604,0.6060805262340242,0.47217404272233077,0.9354666923215695,0.057503909751154214,0.11591911978014388,-0.2524821925641191,-0.6239147449865495,-0.11276831644294066,-0.057583934448907,-0.7529745164434969,-0.662845475196931,-0.6106710815038573,-0.6185656086700531,-0.7028685161954447,-0.9680866826349002,-0.5387228214391075,0.20761009939170996,194.96540888835867,214.13595932639674, Wijk 01 Oostduinen,WK051801
8881.393939393938,2027.0,47.625551543683194,3.7077811478409393,68218.76888729596,1.0627747191869674,2.556009429260459,3.211149203390981,4255.436140465494,142.52317087188447,2194.307598144349,53.40351473926201,525.762074523746,0.5508793029501741,0.08506345808487124,-0.32916432243909083,0.36661859907001076,0.4356183671380564,-0.8518223843213863,0.8460248249964171,0.9746017754289885,1.933850549341932,-0.063556530008534,1.4835700919572745,2.0068193311489457,2.0741324430335895,1.0926470040998997,-1.0134536802228131,0.38390563353485363,0.40372815744213175,1.3831164322319245,1.3420954191858256,0.9787002439820727,0.27873297902513083,1.3229473121973585,-0.1260012882917079,0.9167186967833203,0.3697155387665891,0.0,-0.8238449714357862,1.345118389254022,1.43992837187828,1.0558996257252258,0.5964112006871723,0.46231395776178524,0.9525984109906154,0.045260757318735474,0.10709914962389216,-0.2960540889516108,-0.6689066563518219,-0.13231690229916365,-0.05922196544729177,-0.8499738862813635,-0.7669116572291742,-0.7066352125341555,-0.7174440249283245,-0.8073757977750332,-1.0640714785818755,-0.6279230951352566,0.14649929343233625,201.1175179410507,220.30285775812672, Wijk 01 Oostduinen,WK051801
8927.121212121212,2028.0,47.83894719863966,3.8029849560072937,71146.44756311699,1.0635673740647071,2.5742307923139047,3.1914520552902252,4410.518929239727,147.4470697253411,2254.0852366137356,40.47943483966795,531.2506455246819,0.5516033158262914,0.09468589929836112,-0.4186034117725811,0.36936651746652827,0.45129400591057633,-0.9387386799356672,0.8370383275625962,1.0096360780582216,2.0432007983205303,-0.04404986066453909,1.5285215180710652,2.0988153494707418,2.1178585907390364,1.1257660196241839,-1.0770750840466945,0.3977861647706675,0.4189214597623212,1.449780315941097,1.3950257097435477,1.0053634678144925,0.28952812777442427,1.3470140502870074,-0.1334180797113913,0.950085705372645,0.3801832410093186,0.0,-0.8894096289407701,1.4607287386447183,1.5541328930096814,1.061553614408347,0.5869378970380776,0.4554298195854481,0.9629316689601946,0.03507960434856933,0.09877393214696963,-0.3246221366379941,-0.6975972023442958,-0.15077505927008913,-0.05713852525722967,-0.9348095284988261,-0.8658576976415953,-0.8033236743692225,-0.8151910513327754,-0.9080866001589615,-1.1425093898320673,-0.7129516698623393,0.07630609459926857,206.94917192523755,226.086344597364, Wijk 01 Oostduinen,WK051801
8975.323232323231,2029.0,48.05061892285704,3.9085721692542585,74186.8073784511,1.06386452024753,2.610443253854926,3.175052021372789,4570.85195365915,151.98838897614934,2322.123369064941,27.302946219326724,529.6856609578705,0.5520221226939578,0.10800308430886024,-0.5163046373031202,0.3717882607971313,0.4672862864219319,-1.0176999441862127,0.8282363293959614,1.048119658446073,2.1488051752855877,-0.004760204305149118,1.5624154507354424,2.182157164202423,2.135924183822591,1.1620593919984936,-1.1217564832700626,0.4130355138722745,0.44274992219394316,1.519958341455193,1.4459462875597409,1.0328378123547555,0.30168980422877634,1.3539451779838918,-0.13787238956088507,0.9881565396817495,0.3940460609189821,0.0,-0.9425975661653178,1.5914806883822168,1.679947325386712,1.0678449702496244,0.5776606152867404,0.45152162819331926,0.9664664662303074,0.026960450840655792,0.09094346734937626,-0.3381863356232686,-0.709986382963971,-0.16814278735571703,-0.05133361387872071,-1.007481443095885,-0.9596835964341939,-0.9007364670090579,-0.9118066878834056,-1.0050009233472297,-1.2034004163854755,-0.793808545620356,-0.002969497107492919,212.4603708409192,231.48641984410853, Wijk 01 Oostduinen,WK051801
9026.0,2030.0,48.26056671633537,4.024542787581832,77339.84833329824,1.063666157735436,2.6646468138835218,3.1619491016386734,4736.435213723762,156.14712862430926,2398.4219954979662,13.874048878238336,521.0671208233118,0.5521357235531731,0.12501501311636862,-0.622267999030708,0.3738838290618198,0.48359520867212286,-1.0887061770730226,0.8196188304965125,1.090052516592543,2.250663680237107,0.054312439069635565,1.5852518899504067,2.25684477534399,2.1283292222842545,1.2015271212228287,-1.1474978778929183,0.4296536808396743,0.47521354473699734,1.5936505087742123,1.4948571526344052,1.0611232776028616,0.3152180083881869,1.343740695288011,-0.1393642178401893,1.0309311997106336,0.4113039984955797,0.0,-0.9834087831094289,1.737374238466518,1.817371669009372,1.0747736932490572,0.5685793554331603,0.4505893835853988,0.9632028028009537,0.020903296794994846,0.0836077552311121,-0.33674668590743473,-0.7060741982108477,-0.18442008655604739,-0.04180723131176492,-1.0679896300725398,-1.04838935360697,-0.9988735904536619,-1.0072909345802152,-1.0981187673398374,-1.2467445582421002,-0.8704937224093063,-0.09132748168794827,217.65111468809556,236.50308349836047, Wijk 01 Oostduinen,WK051801
