%_Above80,%_Unemployment_benefit_user,%_Moving_count_above_1,%_DIAB_Medication_user,%_Lung_Cancer_patients,%_Debt_Mortgage,%_JGDHULP_user,%_WMO_user,UniqueMed_Count_MEAN,%_WLZ_user,ZVWKHUISARTS_MEAN,Projection_demand,Wijknaam,WKC,Total_Population,YEAR,Total cost GP care
6.938893903907228e-18,1.734723475976807e-18,0.0,-6.938893903907228e-18,0.0,0.23152824196709562,0.0,0.050071773137318074,2.941088267321982,0.0,123.35976925768081,148.65702834139543, Wijk 41 Hoornwijk,WK051841,668.4242424242424,2025.0,82456.66031169464
0.0,0.0,3.469446951953614e-18,-6.938893903907228e-18,0.0,0.22728026275062843,0.0,0.053893545799768294,2.8244619528966908,0.0,122.16600629551556,150.14711446747893, Wijk 41 Hoornwijk,WK051841,703.4848484848485,2026.0,85941.93442879981
6.938893903907228e-18,-1.734723475976807e-18,0.0,-6.938893903907228e-18,0.0,0.22527901700767872,0.0,0.05976588259733788,2.716269749876929,0.0,121.32511292085519,151.57664652412947, Wijk 41 Hoornwijk,WK051841,734.7272727272727,2027.0,89140.86932966833
6.938893903907228e-18,0.0,0.0,-6.938893903907228e-18,0.0,0.22552450473824642,0.0,0.06768878353002684,2.616511658262697,0.0,120.83708913369969,152.94562451134703, Wijk 41 Hoornwijk,WK051841,762.1515151515152,2028.0,92096.17056974792
6.938893903907228e-18,0.0,3.469446951953614e-18,-6.938893903907228e-18,0.0,0.2280167259423316,0.0,0.07766224859783517,2.525187678053994,0.0,120.70193493404908,154.25404842913164, Wijk 41 Hoornwijk,WK051841,785.757575757576,2029.0,94842.45978302708
6.938893903907228e-18,0.0,3.469446951953614e-18,-6.938893903907228e-18,0.0,0.23275568061993424,0.0,0.08968627780076287,2.442297809250821,0.0,120.91965032190333,155.50191827748327, Wijk 41 Hoornwijk,WK051841,805.5454545454547,2030.0,97406.27468203506
0.010015106165982349,0.004583378879157992,0.004603767298742872,0.0403072293256842,0.0012158575049605108,0.3816112569734455,0.03366895078898315,0.04060640774280109,3.7832040051538893,0.01073370443319977,165.13921068400532,167.3663682675695, Wijk 42 Ypenburg,WK051842,27992.0,2021.0,4622576.785466677
0.010909825874031706,0.0037017355699124786,0.002415228210847914,0.04158356841773785,0.0010047845370909558,0.37302303037644496,0.03291491563317622,0.04304168613096222,3.802175020605073,0.011234847979621532,166.3567494767734,172.06019280575737, Wijk 42 Ypenburg,WK051842,27999.429292929293,2022.0,4657894.044376468
0.011759529066289909,0.0029650021316850435,0.0003061904836510858,0.04281424839106251,0.0007934556669180678,0.3677543917428192,0.033007632812100486,0.04582480417061736,3.819944847304063,0.011857624453675128,168.11551832695176,176.64217602024095, Wijk 42 Ypenburg,WK051842,28027.37373737374,2023.0,4711836.463201781
0.01256421574275695,0.0023731785644756868,-0.0017233458828476086,0.043999269245658175,0.0005818708944418461,0.36580534107256824,0.03394710232575592,0.04895576186176649,3.8365134852508596,0.012602033855360557,170.4155172345404,181.11231791102026, Wijk 42 Ypenburg,WK051842,28075.833333333336,2024.0,4784557.659290751
